nbStage BNEfficiency BNposition Sigma noBN_CT Alter6Rev_numit Alter6Rev_TotalTime Alter6Rev_CplexTime Alter6Rev_totalBuffer BAP
4 0.72 MM 0.85 1.5 50 27.335 1.067 17 2,12,3
6 0.72 MM 0.85 1.5 319 244.622 70.96202 23 1,5,12,4,1
8 0.72 MM 0.85 1.5 1498 4242.33887 3356.76319 27 1,1,4,15,3,2,1
10 0.72 MM 0.85 1.5 2621 19902.6875 18000.03711 28 1,2,5,1,9,5,1,1,3
4 0.72 ML 0.85 1.5 37 21.019 0.37901 16 2,3,11
6 0.72 ML 0.85 1.5 508 363.55399 97.24101 19 1,2,4,4,8
8 0.72 ML 0.85 1.5 3198 8705.05176 6795.63477 21 1,1,1,4,6,3,5
10 0.72 ML 0.85 1.5 4310 21265.93165 18000.01563 20 1,1,2,1,1,2,1,7,4
4 0.72 MM 0.85 1.5 46 23.133 1.89101 17 2,12,3
6 0.72 MM 0.85 1.5 267 185.02601 50.92 23 1,4,13,4,1
8 0.72 MM 0.85 1.5 1618 4622.96924 3681.53858 27 1,1,5,13,5,1,1
10 0.72 MM 0.85 1.5 2556 19873.03516 18000.02149 28 1,1,3,2,15,2,2,1,1
4 0.72 ML 0.85 1.5 31 20.19301 0.31201 15 1,4,10
6 0.72 ML 0.85 1.5 494 320.04801 83.03298 19 1,2,3,9,4
8 0.72 ML 0.85 1.5 4210 15075.48243 12513.41602 22 1,1,1,4,7,2,6
10 0.72 ML 0.85 1.5 4327 21285.84571 18000.02344 20 1,2,2,1,1,7,2,2,2
