nbStage BNEfficiency BNposition Sigma noBN_CT Alter6Rev_numit Alter6Rev_TotalTime Alter6Rev_CplexTime Alter6Rev_totalBuffer BAP
4 0.76 FF 0.85 1.5 78 37.994 2.916 26 18,6,2
6 0.76 FF 0.85 1.5 951 860.76801 483.76029 28 17,6,4,1,0
8 0.76 FF 0.85 1.5 3619 19964.30469 18000.02149 27 13,7,1,3,2,1,0
4 0.76 MM 0.85 1.5 62 29.62101 1.98601 27 6,17,4
6 0.76 MM 0.85 1.5 1012 978.508 608.09015 32 0,6,20,4,2
8 0.76 MM 0.85 1.5 3008 19579.68165 18000.01954 29 0,2,8,10,5,1,3
4 0.76 ML 0.85 1.5 103 42.356 3.03901 22 0,7,15
6 0.76 ML 0.85 1.5 2708 6017.81006 5004.18262 26 0,2,5,8,11
8 0.76 ML 0.85 1.5 4015 20192.33204 18000.03125 19 1,0,1,2,2,11,2
4 0.76 FF 0.85 1.5 70 40.82501 2.21701 25 18,4,3
6 0.76 FF 0.85 1.5 951 854.81299 512.71491 29 18,8,1,2,0
8 0.76 FF 0.85 1.5 3669 19886.67579 18000.04297 26 11,2,8,2,1,1,1
4 0.76 MM 0.85 1.5 70 34.62901 2.48901 24 4,16,4
6 0.76 MM 0.85 1.5 985 939.93598 551.35108 31 0,6,19,6,0
8 0.76 MM 0.85 1.5 2991 19434.1211 18000.01368 30 2,0,7,14,3,4,0
4 0.76 ML 0.85 1.5 99 43.77601 2.706 23 1,5,17
6 0.76 ML 0.85 1.5 2603 5606.95704 4549.83155 26 0,2,5,9,10
8 0.76 ML 0.85 1.5 4030 20129.47071 18000.03125 20 0,0,1,5,2,4,8
