nbStage BNEfficiency BNposition Sigma noBN_CT Alter6Rev_numit Alter6Rev_TotalTime Alter6Rev_CplexTime Alter6Rev_totalBuffer BAP
4 0.66 FF 0.85 1.5 29 22.64901 0.396 8 6,1,1
6 0.66 FF 0.85 1.5 168 107.92801 14.72901 10 6,3,1,0,0
8 0.66 FF 0.85 1.5 1005 1179.33606 641.00879 12 6,4,1,0,0,1,0
10 0.66 FF 0.85 1.5 4246 20665.38477 18000.01172 13 5,2,3,0,0,3,0,0,0
4 0.66 MM 0.85 1.5 36 27.30901 0.417 9 2,6,1
6 0.66 MM 0.85 1.5 250 173.89301 41.65301 13 0,3,8,1,1
8 0.66 MM 0.85 1.5 1598 4212.72413 3337.3042 15 0,1,3,7,3,1,0
10 0.66 MM 0.85 1.5 3227 20164.41602 18000.01954 14 0,1,0,1,7,3,1,1,0
4 0.66 ML 0.85 1.5 35 24.85401 0.30301 8 0,3,5
6 0.66 ML 0.85 1.5 301 184.676 26.53201 10 0,1,3,3,3
8 0.66 ML 0.85 1.5 3461 7854.80323 5977.48194 12 0,1,0,3,3,0,5
10 0.66 ML 0.85 1.5 5131 21724.01172 18000.02149 10 0,1,0,1,3,2,2,1,0
4 0.66 FF 0.85 1.5 31 22.30501 0.32201 8 6,1,1
6 0.66 FF 0.85 1.5 174 108.798 15.801 10 5,4,1,0,0
8 0.66 FF 0.85 1.5 1043 1285.22303 723.79157 12 7,4,0,0,1,0,0
10 0.66 FF 0.85 1.5 4185 20700.78321 18000.01172 13 4,2,2,1,2,0,1,1,0
4 0.66 MM 0.85 1.5 31 18.24201 0.406 9 1,7,1
6 0.66 MM 0.85 1.5 212 148.77601 33.34601 12 0,2,7,2,1
8 0.66 MM 0.85 1.5 1751 4834.646 3903.79517 15 0,0,4,9,2,0,0
10 0.66 MM 0.85 1.5 3177 20367.89454 18000.02344 14 0,0,0,4,6,1,3,0,0
4 0.66 ML 0.85 1.5 25 19.449 0.21701 7 0,2,5
6 0.66 ML 0.85 1.5 330 204.55201 39.12402 10 0,1,1,4,4
8 0.66 ML 0.85 1.5 3627 8814.92676 6821.71778 12 0,0,1,4,2,1,4
10 0.66 ML 0.85 1.5 4995 21741.98438 18000.0254 10 0,0,0,1,1,4,0,1,3
