nbStage BNEfficiency BNposition Sigma noBN_CT Alter6Rev_numit Alter6Rev_TotalTime Alter6Rev_CplexTime Alter6Rev_totalBuffer BAP
4 0.72 LL 0.85 1.5 30 29.66 1.06901 15 1,4,10
6 0.72 LL 0.85 1.5 137 128.504 21.92001 19 1,1,1,4,12
8 0.72 LL 0.85 1.5 479 584.10199 236.76999 23 1,1,1,1,1,6,12
10 0.72 LL 0.85 1.5 1022 2495.21412 1625.3827 25 1,1,1,1,1,1,1,4,14
12 0.72 LL 0.85 1.5 2982 23179.56055 18000.06055 28 1,1,1,1,1,1,1,2,2,4,13
4 0.66 LL 0.85 1.5 11 13.97501 0.08901 8 1,1,6
6 0.66 LL 0.85 1.5 28 36.745 1.395 11 1,1,1,2,6
8 0.66 LL 0.85 1.5 72 100.98201 11.718 14 1,1,1,1,1,2,7
10 0.66 LL 0.85 1.5 86 161.239 13.284 16 1,1,1,1,1,1,1,2,7
12 0.66 LL 0.85 1.5 205 590.17902 55.496 19 1,1,1,1,1,1,1,1,2,3,6
14 0.66 LL 0.85 1.5 405 1259.08204 220.23296 21 1,1,1,1,1,1,1,1,1,1,2,3,6
16 0.66 LL 0.85 1.5 288 1249.32605 134.92 22 1,1,1,1,1,1,1,1,1,1,1,1,1,2,7
18 0.66 LL 0.85 1.5 400 1824.54798 308.22587 25 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8
20 0.66 LL 0.85 1.5 392 2246.19507 396.08091 27 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8

